date,open,high,low,close,volume
1990-01-04,38921.648,38950.770,38705.141,38712.879,0
1990-01-05,38717.488,38786.621,38090.512,38274.762,0
1990-01-08,38331.629,38564.230,38121.102,38294.961,0
1990-01-09,38281.230,38296.629,37729.852,37951.461,0
1990-01-10,37927.629,37927.629,37460.289,37696.512,0
1990-01-11,37705.730,38170.129,37604.328,38170.129,0
1990-01-12,38129.539,38129.539,37516.770,37516.770,0
1990-01-16,37469.410,37469.410,36657.969,36850.359,0
1990-01-17,36894.102,37285.449,36821.141,36821.141,0
1990-01-18,36833.500,37003.430,36521.379,36729.461,0
1990-01-19,36703.570,36839.672,36365.172,36836.539,0
1990-01-22,36853.109,37257.012,36851.250,37257.012,0
1990-01-23,37212.879,37379.488,37018.039,37378.020,0
1990-01-24,37396.352,37462.840,36683.270,36778.980,0
1990-01-25,36822.020,37081.781,36766.129,36969.109,0
1990-01-26,36977.738,37088.070,36845.719,36874.070,0
1990-01-29,36912.512,37224.789,36912.512,37173.699,0
1990-01-30,37210.078,37336.109,37192.230,37215.672,0
1990-01-31,37200.922,37208.078,36957.230,37188.949,0
1990-02-01,37242.031,37332.191,37124.891,37206.422,0
1990-02-02,37256.059,37665.059,37256.059,37650.148,0
1990-02-05,37676.840,37732.270,37583.441,37631.410,0
1990-02-06,37679.781,37886.691,37642.891,37666.828,0
1990-02-07,37684.391,37692.930,37255.672,37301.871,0
1990-02-08,37346.121,37516.238,37180.809,37516.238,0
1990-02-09,37509.070,37509.070,37192.879,37288.141,0
1990-02-13,37319.531,37350.930,37093.988,37107.031,0
1990-02-14,37124.891,37183.262,37018.250,37155.891,0
1990-02-15,37186.398,37585.398,37186.398,37471.988,0
1990-02-16,37522.609,37673.500,37405.469,37460.320,0
1990-02-19,37496.031,37610.520,37097.422,37222.602,0
1990-02-20,37157.559,37157.559,36868.141,36895.520,0
1990-02-21,36865.988,36865.988,35694.891,35734.328,0
1990-02-22,35767.000,36148.340,35087.711,35826.840,0
1990-02-23,35803.281,35803.281,34840.980,34890.969,0
1990-02-26,34863.078,34863.078,32443.180,33321.871,0
1990-02-27,33345.551,34000.691,32793.238,33897.949,0
1990-02-28,33950.199,34755.719,33950.199,34591.988,0
1990-03-01,34587.270,34587.859,33829.578,33829.578,0
1990-03-02,33854.629,34092.230,33771.141,34057.559,0
1990-03-05,34072.488,34118.059,33751.691,33845.199,0
1990-03-06,33856.891,33989.391,33729.891,33791.078,0
1990-03-07,33797.660,33807.391,33180.039,33362.340,0
1990-03-08,33272.762,33938.609,32971.422,33690.891,0
1990-03-09,33724.090,34319.809,33724.090,33993.121,0
1990-03-12,33985.461,34005.699,33366.270,33368.230,0
1990-03-13,33317.852,33317.852,32620.570,32620.570,0
1990-03-14,32578.330,32761.811,32279.539,32352.131,0
1990-03-15,32364.600,32720.170,32364.600,32671.641,0
1990-03-16,32659.369,32918.281,32471.660,32616.439,0
1990-03-19,32609.270,32721.439,31198.211,31263.240,0
1990-03-20,31241.920,31551.029,30570.080,30807.189,0
1990-03-22,30775.859,30775.859,28830.369,29843.340,0
1990-03-23,29850.699,30372.160,29597.391,30372.160,0
1990-03-26,30378.160,31840.490,30378.160,31840.490,0
1990-03-27,31833.641,32164.359,31367.619,31825.961,0
1990-03-28,31799.609,31799.609,31107.211,31263.570,0
1990-03-29,31238.400,31437.609,30876.600,31026.160,0
