date,open,high,low,close,volume
1993-04-27,24.800,25.400,24.500,24.500,0
1993-04-28,24.500,24.600,23.700,24.300,0
1993-04-29,24.300,24.800,23.700,23.700,0
1993-04-30,23.700,24.200,23.700,24.100,0
1993-05-03,24.100,24.400,23.800,24.100,0
1993-05-04,24.100,25.000,24.100,24.900,0
1993-05-05,24.900,24.900,24.300,24.600,0
1993-05-06,24.600,25.700,24.600,25.600,0
1993-05-07,25.600,26.100,25.500,25.800,0
1993-05-10,25.800,25.800,25.100,25.200,0
1993-05-11,25.200,26.300,25.100,26.300,0
1993-05-12,26.300,27.100,26.200,26.700,0
1993-05-13,26.700,27.600,26.700,27.400,0
1993-05-14,27.400,27.900,27.400,27.800,0
1993-05-17,27.800,29.300,27.700,29.300,0
1993-05-18,29.300,30.000,29.300,29.500,0
1993-05-19,29.500,30.300,29.500,29.900,0
1993-05-20,29.900,32.100,29.900,32.000,0
1993-05-21,32.000,33.500,31.700,33.200,0
1993-05-24,33.200,34.300,33.200,33.800,0
1993-05-25,33.800,34.500,33.800,34.400,0
1993-05-26,34.400,35.600,34.400,35.000,0
1993-05-27,35.000,35.100,34.700,34.800,0
1993-05-28,34.900,34.900,34.900,34.900,0
1993-05-31,34.900,34.900,34.900,34.900,0
1993-06-01,35.400,37.200,35.400,37.200,0
1993-06-02,37.800,39.600,37.800,39.300,0
1993-06-03,39.500,40.900,38.800,40.800,0
1993-06-04,41.100,42.000,40.500,41.200,0
1993-06-07,41.000,43.300,41.000,42.200,0
1993-06-08,42.400,43.000,42.000,42.200,0
1993-06-09,42.200,42.300,41.200,41.500,0
1993-06-11,44.600,44.900,44.600,44.900,0
1993-06-14,44.900,46.000,44.500,45.200,0
1993-06-15,45.200,47.600,45.200,45.900,0
1993-06-16,45.900,49.400,45.900,49.400,0
1993-06-17,49.400,53.100,44.400,47.100,0
1993-06-18,47.100,49.100,46.500,47.400,0
1993-06-21,47.400,48.900,47.100,47.900,0
1993-06-22,47.900,49.600,47.300,49.500,0
1993-06-23,49.500,51.300,48.100,48.100,0
1993-06-24,48.100,49.300,47.700,48.700,0
1993-06-25,48.700,52.200,48.700,52.200,0
1993-06-28,52.200,54.800,51.000,53.600,0
1993-06-29,53.600,54.600,52.700,52.900,0
1993-06-30,52.900,54.200,52.900,53.700,0
1993-07-01,53.700,55.100,52.100,52.300,0
1993-07-02,52.300,53.600,51.700,52.300,0
1993-07-05,53.900,54.900,53.800,54.900,0
1993-07-06,55.300,56.700,55.300,56.100,0
1993-07-07,56.100,57.600,56.100,57.500,0
1993-07-08,57.500,58.000,56.400,57.100,0
1993-07-09,57.100,58.800,57.100,58.800,0
1993-07-12,58.800,60.600,58.800,59.700,0
1993-07-13,59.700,60.500,59.300,60.400,0
1993-07-14,60.400,60.400,57.800,58.000,0
1993-07-15,58.000,58.800,56.800,57.100,0
1993-07-16,57.100,58.600,56.500,58.300,0
1993-07-19,58.300,59.300,58.300,59.200,0
1993-07-20,59.200,62.300,59.200,62.300,0
1993-07-21,62.300,63.200,62.200,62.300,0
1993-07-22,62.300,62.300,60.600,61.700,0
1993-07-23,61.700,64.300,61.700,63.500,0
