date,open,high,low,close,volume
2003-01-03,1954.960,1954.960,1954.960,1954.960,0
2003-01-06,1981.100,1981.100,1981.100,1981.100,0
2003-01-07,1992.420,1992.420,1992.420,1992.420,0
2003-01-08,1987.990,1987.990,1987.990,1987.990,0
2003-01-09,1984.450,1984.450,1984.450,1984.450,0
2003-01-10,1998.910,1998.910,1998.910,1998.910,0
2003-01-13,2006.140,2006.140,2006.140,2006.140,0
2003-01-14,2003.550,2003.550,2003.550,2003.550,0
2003-01-15,2014.830,2014.830,2014.830,2014.830,0
2003-01-16,2008.930,2008.930,2008.930,2008.930,0
2003-01-17,2004.410,2004.410,2004.410,2004.410,0
2003-01-20,1985.990,1985.990,1985.990,1985.990,0
2003-01-21,1979.780,1979.780,1979.780,1979.780,0
2003-01-22,1973.610,1973.610,1973.610,1973.610,0
2003-01-23,1981.560,1981.560,1981.560,1981.560,0
2003-01-24,1989.270,1989.270,1989.270,1989.270,0
2003-01-27,1984.720,1984.720,1984.720,1984.720,0
2003-01-28,1973.510,1973.510,1973.510,1973.510,0
2003-01-29,1975.670,1975.670,1975.670,1975.670,0
2003-01-30,1962.820,1962.820,1962.820,1962.820,0
2003-01-31,1953.220,1953.220,1953.220,1953.220,0
2003-02-03,1958.450,1958.450,1958.450,1958.450,0
2003-02-04,1975.580,1975.580,1975.580,1975.580,0
2003-02-05,1949.570,1949.570,1949.570,1949.570,0
2003-02-07,1927.880,1927.880,1927.880,1927.880,0
2003-02-10,1946.600,1946.600,1946.600,1946.600,0
2003-02-11,1958.620,1958.620,1958.620,1958.620,0
2003-02-12,1937.540,1937.540,1937.540,1937.540,0
2003-02-13,1923.050,1923.050,1923.050,1923.050,0
2003-02-14,1920.930,1920.930,1920.930,1920.930,0
2003-02-17,1946.920,1946.920,1946.920,1946.920,0
2003-02-18,1947.030,1947.030,1947.030,1947.030,0
2003-02-19,1952.270,1952.270,1952.270,1952.270,0
2003-02-20,1936.090,1936.090,1936.090,1936.090,0
2003-02-21,1916.290,1916.290,1916.290,1916.290,0
2003-02-24,1905.820,1905.820,1902.870,1902.870,0
2003-02-25,1902.530,1902.530,1869.720,1869.720,0
2003-02-26,1870.060,1873.930,1870.060,1873.930,0
2003-02-27,1874.230,1875.450,1871.380,1875.450,0
2003-02-28,1875.450,1880.850,1875.450,1880.850,0
2003-03-03,1880.850,1886.120,1879.520,1886.120,0
2003-03-04,1886.120,1902.170,1882.520,1901.390,0
2003-03-05,1901.390,1910.330,1893.600,1910.330,0
2003-03-06,1910.330,1917.220,1900.760,1909.960,0
2003-03-07,1909.960,1912.650,1899.620,1902.490,0
2003-03-10,1902.490,1908.780,1897.240,1907.520,0
2003-03-11,1907.520,1907.520,1895.190,1901.860,0
2003-03-12,1901.860,1908.060,1892.730,1893.580,0
2003-03-13,1893.580,1893.580,1869.890,1872.950,0
2003-03-14,1872.950,1900.650,1872.950,1898.450,0
2003-03-17,1898.450,1900.010,1884.920,1888.790,0
2003-03-18,1888.790,1913.580,1888.790,1912.020,0
2003-03-19,1912.020,1912.020,1895.860,1895.860,0
2003-03-20,1895.860,1905.460,1894.080,1902.070,0
2003-03-21,1902.070,1910.600,1898.700,1908.030,0
2003-03-24,1908.030,1919.570,1908.030,1916.440,0
2003-03-25,1916.440,1916.440,1897.250,1905.410,0
2003-03-26,1905.410,1911.100,1901.140,1908.160,0
2003-03-27,1908.160,1915.560,1899.620,1914.080,0
2003-03-28,1914.080,1921.470,1908.440,1919.230,0
2003-03-31,1919.230,1934.620,1909.060,1931.610,0
2003-04-01,1931.610,1931.610,1914.670,1924.770,0
2003-04-02,1924.770,1942.820,1924.380,1933.600,0
2003-04-03,1933.600,1943.770,1925.260,1931.610,0
2003-04-04,1931.610,1947.520,1925.200,1945.980,0
2003-04-07,1945.980,1978.310,1945.820,1975.590,0
2003-04-08,1975.590,1983.660,1972.060,1972.060,0
2003-04-09,1972.060,1976.170,1967.390,1974.530,0
2003-04-10,1974.530,1974.530,1942.150,1947.300,0
2003-04-11,1947.300,1961.710,1946.290,1959.830,0
2003-04-14,1959.830,1987.580,1959.830,1981.720,0
2003-04-15,1981.720,2006.120,1981.720,2006.120,0
2003-04-16,2006.120,2006.160,1977.520,1981.420,0
2003-04-17,1981.420,1983.410,1970.330,1970.330,0
2003-04-22,1970.330,1974.940,1964.350,1964.440,0
2003-04-23,1964.440,1983.660,1964.440,1978.890,0
2003-04-24,1978.890,2002.750,1978.890,1994.360,0
2003-04-28,1994.360,1994.360,1973.510,1973.630,0
2003-04-29,1973.630,1995.310,1973.630,1993.040,0
2003-04-30,1993.040,2015.110,1992.340,2013.310,0
2003-05-01,2013.310,2013.490,1995.880,1999.440,0
2003-05-02,1999.440,1999.440,1953.120,1955.450,0
2003-05-05,1955.450,1963.290,1950.180,1960.420,0
2003-05-06,1960.420,1979.750,1959.060,1977.870,0
2003-05-07,1977.870,1989.100,1976.460,1978.060,0
2003-05-08,1978.060,1981.240,1964.770,1977.860,0
2003-05-09,1977.860,1990.210,1970.430,1979.430,0
2003-05-12,1979.430,2003.840,1979.430,2000.410,0
2003-05-13,2000.410,2013.060,2000.410,2009.770,0
2003-05-14,2009.770,2019.370,2004.960,2017.280,0
2003-05-15,2017.280,2023.260,2010.860,2019.010,0
2003-05-16,2019.010,2021.770,2013.010,2020.100,0
2003-05-19,2020.100,2023.240,2008.660,2009.630,0
2003-05-20,2009.630,2013.480,1997.650,2009.610,0
2003-05-21,2009.610,2022.930,2000.680,2013.220,0
2003-05-22,2013.220,2040.360,2013.220,2033.120,0
2003-05-23,2033.120,2044.770,2033.120,2044.770,0
2003-05-26,2044.770,2052.180,2044.460,2048.010,0
2003-05-27,2048.010,2059.280,2048.010,2058.660,0
2003-05-28,2058.660,2072.770,2058.660,2064.520,0
2003-05-29,2064.520,2085.380,2060.840,2084.760,0
2003-05-30,2084.760,2091.600,2077.930,2087.060,0
2003-06-03,2087.060,2093.400,2084.150,2089.630,0
2003-06-04,2089.630,2089.630,2077.260,2083.320,0
2003-06-05,2083.320,2105.450,2083.320,2101.770,0
2003-06-06,2101.770,2112.170,2101.770,2108.920,0
2003-06-09,2108.920,2112.410,2101.820,2109.400,0
2003-06-10,2109.400,2114.610,2108.320,2112.080,0
2003-06-11,2112.080,2112.080,2104.580,2105.870,0
2003-06-12,2105.870,2116.630,2105.870,2113.290,0
2003-06-13,2113.290,2125.310,2113.290,2121.490,0
2003-06-16,2121.490,2141.570,2118.610,2140.510,0
2003-06-17,2140.510,2171.760,2140.510,2167.150,0
2003-06-18,2167.150,2169.900,2161.320,2169.730,0
2003-06-19,2169.730,2180.680,2167.860,2180.380,0
2003-06-20,2180.380,2188.300,2172.960,2188.300,0
2003-06-23,2188.300,2189.660,2180.600,2184.900,0
2003-06-24,2184.900,2184.900,2160.700,2167.960,0
2003-06-25,2167.960,2172.710,2166.320,2169.840,0
2003-06-26,2169.840,2169.840,2159.140,2165.420,0
2003-06-27,2165.420,2173.670,2163.830,2172.470,0
2003-06-30,2172.470,2212.610,2165.710,2212.520,0
2003-07-01,2212.520,2212.520,2182.400,2186.210,0
2003-07-02,2186.220,2197.990,2185.760,2196.070,0
2003-07-03,2196.070,2200.100,2187.500,2192.340,0
2003-07-04,2192.340,2192.340,2176.130,2181.530,0
2003-07-07,2181.530,2181.530,2168.980,2171.250,0
2003-07-08,2171.250,2186.010,2150.420,2157.040,0
2003-07-09,2157.040,2157.040,2129.420,2131.810,0
2003-07-10,2131.810,2133.350,2124.390,2129.210,0
2003-07-11,2129.210,2133.170,2127.790,2131.670,0
2003-07-14,2131.670,2139.080,2129.090,2135.290,0
2003-07-15,2135.290,2139.630,2131.030,2131.840,0
2003-07-16,2131.840,2131.840,2104.280,2104.280,0
2003-07-17,2104.280,2106.080,2094.820,2104.990,0
2003-07-18,2104.990,2110.570,2092.720,2110.370,0
2003-07-21,2110.370,2137.060,2110.370,2137.060,0
2003-07-22,2137.060,2137.060,2124.020,2130.400,0
2003-07-23,2130.400,2149.930,2130.400,2149.930,0
2003-07-24,2149.930,2168.650,2149.930,2163.250,0
2003-07-25,2163.250,2170.820,2160.790,2169.480,0
2003-07-28,2169.480,2187.470,2169.330,2172.120,0
2003-07-29,2172.120,2172.250,2156.850,2157.860,0
2003-07-30,2157.860,2160.800,2141.190,2146.980,0
2003-07-31,2146.980,2158.780,2146.350,2146.350,0
2003-08-01,2146.350,2158.820,2144.630,2157.840,0
2003-08-04,2157.840,2160.860,2153.700,2159.410,0
2003-08-05,2159.410,2179.660,2159.410,2176.880,0
2003-08-06,2176.880,2188.170,2176.880,2180.590,0
2003-08-07,2180.590,2186.620,2178.010,2178.500,0
2003-08-08,2178.500,2202.300,2178.500,2202.250,0
2003-08-11,2202.250,2208.520,2199.590,2207.030,0
2003-08-12,2207.030,2207.030,2198.730,2203.400,0
2003-08-13,2203.400,2218.190,2203.400,2217.520,0
2003-08-14,2217.520,2217.520,2201.870,2204.730,0
2003-08-15,2204.730,2207.550,2188.640,2190.280,0
2003-08-18,2190.280,2208.930,2190.280,2208.930,0
2003-08-19,2208.930,2224.020,2208.930,2217.550,0
2003-08-20,2217.550,2219.130,2193.940,2196.650,0
2003-08-21,2196.650,2199.250,2175.720,2178.090,0
2003-08-22,2178.090,2178.820,2167.970,2174.620,0
2003-08-25,2174.620,2176.660,2167.060,2171.970,0
2003-08-26,2171.970,2189.980,2171.480,2184.180,0
2003-08-27,2184.180,2191.870,2178.120,2178.120,0
2003-08-28,2178.120,2190.020,2177.350,2188.320,0
2003-08-29,2188.320,2216.310,2188.320,2214.910,0
2003-09-01,2214.910,2219.820,2207.840,2208.410,0
2003-09-02,2208.410,2214.850,2203.570,2206.690,0
2003-09-03,2206.690,2216.760,2206.690,2216.760,0
2003-09-04,2216.760,2222.450,2215.850,2218.880,0
2003-09-05,2218.880,2229.640,2218.880,2223.360,0
2003-09-08,2223.360,2223.360,2210.670,2216.650,0
2003-09-09,2216.650,2221.670,2215.280,2218.250,0
2003-09-10,2218.250,2223.340,2213.130,2213.740,0
2003-09-11,2213.740,2214.840,2206.200,2213.390,0
2003-09-12,2213.390,2217.670,2210.060,2210.240,0
2003-09-15,2210.240,2232.200,2210.240,2231.740,0
2003-09-16,2231.740,2232.590,2220.700,2221.460,0
2003-09-17,2221.460,2240.200,2221.460,2240.020,0
2003-09-18,2240.020,2269.700,2236.600,2239.980,0
2003-09-19,2239.980,2270.150,2239.980,2260.870,0
2003-09-22,2260.870,2270.380,2260.870,2267.600,0
2003-09-23,2267.600,2272.450,2267.600,2271.490,0
2003-09-24,2271.490,2275.560,2262.980,2275.560,0
2003-09-25,2275.560,2275.940,2263.510,2272.790,0
2003-09-26,2272.790,2277.780,2258.740,2274.210,0
2003-09-29,2274.210,2279.650,2269.740,2270.590,0
2003-09-30,2270.590,2284.650,2270.590,2280.830,0
2003-10-01,2280.830,2286.850,2271.440,2272.520,0
2003-10-02,2272.520,2281.740,2269.320,2278.520,0
2003-10-03,2278.520,2297.820,2278.520,2293.170,0
2003-10-06,2293.170,2308.600,2293.170,2302.210,0
2003-10-07,2302.210,2307.930,2297.640,2298.780,0
2003-10-08,2298.780,2300.400,2295.570,2297.590,0
2003-10-09,2297.590,2304.140,2287.720,2300.940,0
2003-10-10,2300.940,2304.970,2293.350,2293.350,0
2003-10-13,2293.350,2304.290,2292.720,2299.730,0
2003-10-14,2299.730,2304.760,2280.480,2281.550,0
